Date,VIX Open,VIX High,VIX Low,VIX Close
1/2/92,19.69,20.15,18.88,18.95
1/3/92,17.04,19.23,17.04,18.75
1/6/92,16.23,19.49,16.08,18.96
1/7/92,20.30,20.30,19.12,19.23
1/8/92,17.53,19.27,17.30,18.72
1/9/92,17.58,19.41,17.58,18.96
1/10/92,18.50,18.89,18.30,18.45
1/13/92,19.05,19.05,18.01,18.01
1/14/92,17.73,17.73,16.16,17.01
1/15/92,17.81,17.91,17.31,17.39
1/16/92,18.43,18.43,17.42,17.64
1/17/92,16.59,16.77,16.01,16.32
1/20/92,16.57,16.72,16.24,16.42
1/21/92,16.74,18.19,16.60,17.92
1/22/92,17.54,17.58,16.72,16.75
1/23/92,15.48,16.73,15.40,16.46
1/24/92,16.23,16.33,15.65,16.24
1/27/92,16.15,16.82,16.15,16.67
1/28/92,17.07,17.70,16.99,17.67
1/29/92,16.57,18.04,16.05,17.62
1/30/92,16.87,17.75,16.87,17.49
1/31/92,14.16,17.51,14.12,17.40
2/3/92,17.08,19.21,17.01,18.20
2/4/92,17.16,18.72,16.84,17.96
2/5/92,18.15,18.35,17.98,18.22
2/6/92,18.80,18.93,18.64,18.79
2/7/92,18.43,19.31,18.13,18.51
2/10/92,19.24,19.25,18.55,18.56
2/11/92,19.24,18.57,17.61,17.70
2/12/92,18.22,18.23,17.37,17.37
2/13/92,15.42,18.03,15.35,17.45
2/14/92,17.52,17.62,16.81,17.03
2/18/92,17.79,18.32,17.38,18.22
2/19/92,17.79,17.69,16.85,17.16
2/20/92,15.66,17.32,15.59,16.72
2/21/92,15.75,17.41,15.75,16.87
2/24/92,17.47,17.55,17.07,17.13
2/25/92,15.86,17.10,15.52,16.35
2/26/92,15.66,16.74,15.66,16.64
2/27/92,16.97,17.08,16.36,16.51
2/28/92,15.34,17.17,15.34,16.68
3/2/92,17.44,17.50,16.88,16.88
3/3/92,17.36,17.41,16.92,17.26
3/4/92,17.82,17.92,17.43,17.89
3/5/92,18.57,18.89,17.94,18.47
3/6/92,18.25,20.04,18.14,19.75
3/9/92,20.67,20.68,19.66,19.68
3/10/92,19.62,19.63,18.60,18.68
3/11/92,19.23,20.34,19.18,19.79
3/12/92,19.47,21.06,19.47,19.72
3/13/92,18.39,18.88,17.98,18.35
3/16/92,19.13,19.13,18.44,18.46
3/17/92,17.78,17.84,16.79,16.79
3/18/92,16.95,16.97,16.61,16.69
3/19/92,16.73,16.85,16.44,16.52
3/20/92,16.73,16.90,16.58,16.82
3/23/92,17.63,17.63,16.73,16.73
3/24/92,16.27,16.70,16.18,16.32
3/25/92,16.41,16.41,16.08,16.19
3/26/92,16.55,16.60,16.10,16.29
3/27/92,15.88,16.09,15.46,16.02
3/30/92,16.43,16.53,15.90,15.97
3/31/92,16.45,16.56,15.98,16.18
4/1/92,16.93,17.11,16.43,16.48
4/2/92,16.25,17.17,16.11,17.06
4/3/92,18.22,18.32,16.71,16.72
4/6/92,17.18,17.20,16.59,16.72
4/7/92,17.26,18.81,16.56,18.81
4/8/92,20.06,21.44,19.66,20.15
4/9/92,18.95,18.96,17.48,17.89
4/10/92,17.39,17.43,16.79,16.85
4/13/92,17.42,17.51,16.93,16.99
4/14/92,16.82,16.82,15.88,15.98
4/15/92,16.36,16.45,15.15,15.15
4/16/92,15.17,15.58,14.83,14.85
4/20/92,16.15,16.54,15.70,15.93
4/21/92,16.00,16.86,15.74,16.53
4/22/92,16.03,16.15,15.86,15.96
4/23/92,16.10,16.75,15.83,15.83
4/24/92,15.73,16.83,15.53,15.71
4/27/92,16.93,16.93,16.38,16.49
4/28/92,16.56,16.90,16.24,16.24
4/29/92,16.38,16.40,15.86,15.95
4/30/92,15.86,15.94,15.53,15.53
5/1/92,14.87,17.36,14.84,16.61
5/4/92,16.70,17.76,16.48,16.92
5/5/92,15.56,17.12,15.49,16.66
5/6/92,16.11,17.33,15.90,16.81
5/7/92,15.80,17.29,15.67,16.54
5/8/92,16.18,16.34,15.52,15.65
5/11/92,15.87,15.90,15.17,15.17
5/12/92,15.40,15.87,15.32,15.68
5/13/92,15.88,15.88,15.19,15.19
5/14/92,14.38,16.19,14.35,15.49
5/15/92,14.38,16.06,14.10,14.82
5/18/92,15.17,15.46,14.58,14.62
5/19/92,13.95,14.40,13.44,13.57
5/20/92,12.98,14.19,12.98,13.62
5/21/92,14.01,15.12,13.92,13.92
5/22/92,14.03,14.31,13.53,13.73
5/26/92,13.93,15.28,13.77,14.92
5/27/92,13.84,14.36,13.59,13.99
5/28/92,14.25,14.57,13.72,13.77
5/29/92,12.77,14.28,12.77,13.86
6/1/92,14.47,14.84,13.92,14.43
6/2/92,12.92,15.22,12.73,14.57
6/3/92,13.24,14.97,13.24,14.35
6/4/92,13.21,14.32,13.14,13.66
6/5/92,14.57,14.96,14.50,14.65
6/8/92,15.60,15.60,15.10,15.19
6/9/92,15.28,15.98,15.17,15.97
6/10/92,15.90,16.62,15.75,16.62
6/11/92,16.91,16.95,16.29,16.29
6/12/92,15.37,15.48,14.71,14.95
6/15/92,16.11,16.11,14.72,14.76
6/16/92,15.12,15.23,14.82,15.22
6/17/92,15.76,18.08,15.74,18.08
6/18/92,18.23,18.53,17.64,18.20
6/19/92,17.43,17.53,16.28,16.31
6/22/92,14.66,17.79,14.64,16.66
6/23/92,14.27,15.29,14.17,14.53
6/24/92,14.26,14.75,14.12,14.40
6/25/92,13.93,15.00,13.85,14.40
6/26/92,14.13,15.00,14.13,14.67
