tweet_id,tweet,screen_name,name,date,avatar
127393,"um, whatever, I totally spelled oedipus wrong. I hate myself. I'm gonna go throw up.",crystal,crystal,11-22-2006 16:47:41,http://s3.amazonaws.com/twitter_production/profile_images/74090619/meandfu_normal.png
542713,saw mila jovovich at groundworks. she looked all crazy-like. i still wanted to hump her.,Mickipedia,Micki Krimmel,12-01-2006 14:52:11,http://s3.amazonaws.com/twitter_production/profile_images/85566119/mickaroke_normal.jpg
566333,"If you insist on wearing the festive reindeer sweater, please refrain from tucking it in.",sacca,Chris Sacca,12-02-2006 09:59:04,http://s3.amazonaws.com/twitter_production/profile_images/104437527/me4_normal.jpg
1559893,"Huge line at bank. Tried to laugh all the way here, but that is -much- harder than it sounds.",cw,Chris Wetherell,12-22-2006 11:48:52,http://s3.amazonaws.com/twitter_production/profile_images/14022652/me-small_normal.jpg
1748123,"loves when The Wire subtitle comes up: ""(BODIE CHATTERING)"". Bodie Chatterly's Lover.",jm3,John Manoogian III,12-27-2006 12:30:39,http://s3.amazonaws.com/twitter_production/profile_images/52652241/THE_STREETS_WILL_RUN_RED_WITH_GOLD_normal.png
1934853,Made myself a negroni. Fuck you 2006.,buzz,Buzz Andersen,01-01-2007 02:00:04,http://s3.amazonaws.com/twitter_production/profile_images/60308638/buzz-talking_normal.jpg
2017293,"putting new records, books, styrofoam chains through the dtw x-ray machines",pheezy,evan cordes,01-02-2007 12:35:11,http://s3.amazonaws.com/twitter_production/profile_images/16223042/51035644690_N01_normal.jpg
3101353,"""It is an honor for you to meet me."" – Tracy Jordan on NBC's 30 Rock",nivi,Nivi,01-16-2007 23:20:35,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
3923813,&quot;Success is not built on success. It's built on failure. It's built on frustration. Sometimes its built on catastrophe.&quot; – Sumner Redstone,nivi,Nivi,01-24-2007 02:39:49,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
3972313,following john's quest to get a burrito,cstoller,Chad Stoller,01-24-2007 11:19:46,http://s3.amazonaws.com/twitter_production/profile_images/51580031/chad_wu_mini_normal.jpg
4490443,"I love HBO's Rome, but waaaaaay too much ass fucking this evening.  Lets hope that the remaining time reintroduces the vagina into the storyline.",Stuart,Stuart,01-28-2007 20:16:04,http://s3.amazonaws.com/twitter_production/profile_images/69456256/stu_normal.jpg
4653093,"PROJing down Ellis the wrong way on empty, contact high off curry'n cannabis, squaring off w/overfed SUV drivers... a singular experience.",jm3,John Manoogian III,01-30-2007 01:01:23,http://s3.amazonaws.com/twitter_production/profile_images/52652241/THE_STREETS_WILL_RUN_RED_WITH_GOLD_normal.png
4715193,"""With knowledge being universally accessible... there will be no 'poor' countries. There will only be ignorant countries."" – Peter Drucker",nivi,Nivi,01-30-2007 11:02:41,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
4849673,"Looking at JetBlue headrest monitor which currently says ""Without you we would just be a bunch of TV's flying around the country"".",laughingsquid,Scott Beale,01-31-2007 08:52:23,http://s3.amazonaws.com/twitter_production/profile_images/52876139/avatar_normal.jpg
4883283,"""If you can sharpen your intuition, which they say is emotion and intellect joining together, then a knowingness occurs."" – David Lynch",nivi,Nivi,01-31-2007 13:03:28,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5028553,"""The truly important events... are not the trends. They are changes in the trends."" – Peter Drucker",nivi,Nivi,02-01-2007 12:27:32,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5333881,"""The physics of leadership."" – Hossein Nivi, on Peter Drucker",nivi,Nivi,02-05-2007 23:50:12,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5334332,"""Create possibilities, not alternatives."" – Me",nivi,Nivi,02-06-2007 01:06:20,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5359426,I put on my robe and wizard hat,lmorchard,l.m. orchard,02-07-2007 13:58:29,http://s3.amazonaws.com/twitter_production/profile_images/55461184/heeed9_normal.jpg
5392585,"Awoken from troubled dreams, I find myself transformed in my bed into a horrible vermin.",pheezy,evan cordes,02-09-2007 08:08:56,http://s3.amazonaws.com/twitter_production/profile_images/16223042/51035644690_N01_normal.jpg
5464053,Watching Nothing. I am out of shows to watch.,essl,Mike Essl,02-12-2007 12:00:39,http://s3.amazonaws.com/twitter_production/profile_images/58405580/essl_twit_normal.png
5466905,Rocking The Sword. SO HEAVY.,essl,Mike Essl,02-12-2007 14:29:59,http://s3.amazonaws.com/twitter_production/profile_images/58405580/essl_twit_normal.png
5709774,"""Progress does not march forward like an army on parade; it crawls on its belly like a guerrilla."" – The New New Thing",nivi,Nivi,02-26-2007 09:39:16,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5822055,"""[Public libraries] do not contain information. They contain data. The customer decides what is information."" – Peter Drucker",nivi,Nivi,03-03-2007 14:41:21,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5825576,"From my 3 year old daughter: ""I don't like you Daddy, but I love you"".  From my wife: ""Don't call me bitchface"".",Stuart,Stuart,03-03-2007 19:05:04,http://s3.amazonaws.com/twitter_production/profile_images/69456256/stu_normal.jpg
5828871,"""You never ask board members what they think. You tell them what you're going to do."" – Bill Watkins",nivi,Nivi,03-04-2007 01:12:57,http://s3.amazonaws.com/twitter_production/profile_images/54022207/Nivi_Favicon_normal.jpg
5944557,not currently boarding any plane bound for austin. I say we find look up all the SxSW attendees and rob their houses.,lmorchard,l.m. orchard,03-08-2007 15:36:44,http://s3.amazonaws.com/twitter_production/profile_images/55461184/heeed9_normal.jpg
7044191,Never trust a hotel with a waterfall,scottsimpson,Scott Simpson,03-12-2007 10:10:17,http://s3.amazonaws.com/twitter_production/profile_images/63487780/twitterphoto_normal.jpg
17986001,"A new, more expensive version of me will now be available without DRM.",khoi,Khoi Vinh,04-02-2007 14:58:50,http://s3.amazonaws.com/twitter_production/profile_images/16896652/Adam_West_normal.jpg
22113021,"The coffee out here is so good, I wanted to take it into the shower with me",JackPine,jack pine,04-08-2007 09:09:49,http://s3.amazonaws.com/twitter_production/profile_images/22084552/profile_normal.gif
28198461,"I used to be a respected Watcher.  Now, I'm a wounded Dwarf with the mystical strength of a doily.",lmorchard,l.m. orchard,04-14-2007 13:44:46,http://s3.amazonaws.com/twitter_production/profile_images/55461184/heeed9_normal.jpg
30346971,I don't usually like skinny folks because most of them look dry and sickly.,damagedmofo,al,04-16-2007 15:29:06,http://s3.amazonaws.com/twitter_production/profile_images/57120587/anjalee_normal.jpg
32179061,"Twitterer to follow: larrychiang. Wants to make movie about strippers with a dot-com called ""Stocks and Blondes.""",nick,Nick Douglas,04-18-2007 08:18:18,http://s3.amazonaws.com/twitter_production/profile_images/114458827/nick_jan_2009_icon_normal.jpg
34413422,"To live in the Mission, do I _have_ to dress like a gay Cuban army conscript? Or is that optional?",scottsimpson,Scott Simpson,04-20-2007 11:59:50,http://s3.amazonaws.com/twitter_production/profile_images/63487780/twitterphoto_normal.jpg
35691202,@pheezy Mastablasta commands goose commandah.,essl,Mike Essl,04-21-2007 23:06:21,http://s3.amazonaws.com/twitter_production/profile_images/58405580/essl_twit_normal.png
36149472,"My maple syrup says ""Best before 875"". It just got medieval on my ass.",scottsimpson,Scott Simpson,04-22-2007 11:27:37,http://s3.amazonaws.com/twitter_production/profile_images/63487780/twitterphoto_normal.jpg
39447072,salt bagels - the food of the hard-core Jew,michelet,Misha Tepper,04-25-2007 07:18:17,http://s3.amazonaws.com/twitter_production/profile_images/15238272/misha_normal.jpg
