date,time,tweet,tweet_id,length,hashtag,at_mention,at_message,RT,RT_pos,link,link_pos,proof_related
"2009-03-20","23:39","™",1363389711,1,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-02-28","18:05","code",5757045,4,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-03-02","21:25","33.3%",5803162,5,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-02-13","7:00","T.I.O.",706461312,6,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-06-23","18:39","hacking",117574622,7,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-01-09","6:33","iSleep.",2428713,7,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-05-21","4:22","@ the W.",816276174,8,FALSE,TRUE,TRUE,FALSE,-1,FALSE,-1,FALSE
"2009-12-27","6:48","PS. hail",7083675611,8,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2010-06-29","22:29","SFO ✈ LAX",17367223462,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-03-01","21:06","bald yaks",5779945,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-07-26","18:40","Steeping.",869171933,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-03-15","6:54","Unwinding",771850948,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2006-12-12","6:40","unpacking",988843,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-07-02","5:14","Control-L",130134702,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-09-20","4:33","the atom",280730362,9,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2009-08-23","6:41","Soup Wars.",3487860988,10,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2010-03-21","1:08","@jenspec hi",10798519666,11,FALSE,TRUE,TRUE,FALSE,-1,FALSE,-1,FALSE
"2007-03-29","19:22","hi tweeter.",15273241,11,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2009-10-26","18:53","git ’stache",5179849071,11,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-07-04","16:05","Stretching.",850136227,11,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2009-02-14","11:17","No Thinking",1209478783,11,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-05-08","2:40","I baseball!",54117392,11,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2010-03-06","22:07","Snowshoeing!",10091632117,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-02-15","21:31","Crepevining.",5528048,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2006-12-24","16:52","is quiescing",1632973,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-08-22","16:02","Eat the grid",220497992,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2006-12-28","15:16","playing dead",1776673,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-05-30","14:04","White skies.",823356065,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-12-06","11:54","Wave passes.",474720532,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2007-06-10","5:13","nut huggers.",98076012,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-09-22","4:41","Tear-sheets.",930047470,12,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2010-08-24","21:02","RT @aaron_: ⁂",22030778300,13,FALSE,TRUE,FALSE,TRUE,3,FALSE,-1,FALSE
"2008-06-18","16:52","Learnin shit.",837931081,13,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-12-19","8:49","¿que ocurrió?",1066731628,13,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2008-04-24","6:41","Caribousters.",795735213,13,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2006-12-19","0:47","is loving Soy",1342273,13,FALSE,FALSE,FALSE,FALSE,-1,FALSE,-1,FALSE
"2010-08-18","13:49","@ForzaBlitz :(",21491568147,14,FALSE,TRUE,TRUE,FALSE,-1,FALSE,-1,FALSE
